"plotcode" "block" "mixcode" "year" "season" "sowndiv" "Weed.bm" "Weed.cover" "Total.bm" "total.bm.year" "Alo.pra" "Ant.syl" "Arr.ela" "Dac.glo" "Ger.pra" "Phl.pra" "Poa.tri" "Tri.pra" "Tri.rep" "Alo.pra.bm" "Ant.syl.bm" "Arr.ela.bm" "Dac.glo.bm" "Ger.pra.bm" "Phl.pra.bm" "Poa.tri.bm" "Tri.pra.bm" "Tri.rep.bm" "Alo.pra.cover" "Ant.syl.cover" "Arr.ela.cover" "Dac.glo.cover" "Ger.pra.cover" "Phl.pra.cover" "Poa.tri.cover" "Tri.pra.cover" "Tri.rep.cover" "r_asym" "alpha" "a_intra" "a_inter" "n_dif_m" "f_dif_m" "nf_dif_m" "str_n_dif" "str_f_dif" "str_nf_dif" "com_mean" "com_sd" "com_stab" "sp_mean" "sp_sd" "sp_stab" "stab" "syn_l" "syn_g"
"B1B003" 1 "S06M06" 2015 1.5 6 0 6 132.745 23738.8305 1 1 1 0 0 1 1 0 1 0 0 124.55 0 0 0 8.195 0 0 6 0 55 0 0 0 5.5 0 0 0.697516795 0.0142118058585113 0.00863299060635301 0.0153275689089429 0.660544637438216 8.49865788319508 -7.83811324575686 -5.16690706796602 26.1810310494936 -31.3479381174596 247.423305323077 99.0076055499126 2.49903332121636 39.3384996053205 32.0050019345234 0.968774444854781 2.56292376292937 0.295417070691783 0.196878153531399
"B1B004" 1 "S03M12" 2015 1.5 3 0 7.5 127.57 23738.8305 1 0 0 1 0 0 0 1 0 15.62 0 0 111.95 0 0 0 0 0 6 0 0 55 0 0 0 5 0 0.175839390666667 0.00425327213662504 0.00529967344208636 0.00373007148389438 0.836207259212007 2.46048237635344 -1.62427511714144 -2.35063340278008 22.7543622523081 -25.1049956550881 211.508081569231 90.6088198761071 2.33429904349746 70.5026938566667 61.4848072425461 1.08490360665828 2.33429904351328 0.310633483448806 -0.11326077004228
"B1B006" 1 "S03M01" 2015 1.5 3 0 3.5 137.54 23738.8305 0 1 1 1 0 0 0 0 0 0 5.8 79.055 52.685 0 0 0 0 0 0 5 40 20 0 0 0 0 0 0.955430378 0.0114592975441872 0.0090199778150494 0.0126789574087561 0.858402609195627 6.91550422608492 -6.0571016168893 -1.6189200498867 11.7007216452931 -13.3196416951798 283.389955792308 117.979352997037 2.40203008910741 94.4633185947436 54.8345729933579 1.40422614159298 2.40203008896031 0.595254331153868 0.244258259319182
"B1B007" 1 "S02M52" 2015 1.5 2 0 20 0.58 23738.8305 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0.58 0 0 0 0 0 0 0 1 5 0.138586364 0.0356667441209614 0.00988192149840889 0.061451566743514 0.636366968661225 1.80395696613398 -1.16758999747276 -0.100364454467093 1.51231756397131 -1.6126820184384 108.427653846154 104.798420333869 1.0346306127585 54.2138269230769 60.2097669764474 1.04095272991752 1.0346306127585 0.769290455276859 0.356834735052758
"B1B008" 1 "S03M24" 2015 1.5 3 0 20 88.75 23738.8305 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 20.5 68.25 0 0 0 0 0 0 0 15.5 10 0 0.660677897333333 0.0245705390633204 0.010977911207881 0.0313668529910401 0.852190965266639 6.75486722284015 -5.90267625757351 -0.967416825359644 29.8819022398401 -30.8493190651998 153.732019230769 120.219621040708 1.27875980559541 51.2440064102564 57.6945827355693 0.833702652415896 1.27875980559541 0.509936519367458 0.331061126016173
"B1B009" 1 "S02M24" 2015 1.5 2 0 5 64.775 23738.8305 0 1 0 0 1 0 0 0 0 0 3.925 0 0 60.85 0 0 0 0 0 10 0 0 20 0 0 0 0 0.204757742 0.0139515463617031 0.0143132598729634 0.0135898328504428 0.584041209004035 1.97812546052905 -1.39408425152501 -1.50666105174019 8.54979453906379 -10.056455590804 96.2752421884615 75.6177037354443 1.2731838899167 48.1376210940769 52.0990841583834 0.964773368600628 1.27318388990727 0.550491397499733 0.095289471435177
"B1B010" 1 "S06M03" 2015 1.5 6 0 1.5 216.115 23738.8305 1 0 1 1 0 1 1 1 0 8.1 0 148.35 55.11 0 0 4.555 0 0 6 0 40 25 0 0 5.5 1 0 0.4328490272 0.00730162475835897 0.00553923125666164 0.00765410345869844 0.835161367109571 6.90763835404217 -6.0724769869326 -5.33419058208138 27.3004692016363 -32.6346597837176 328.1059398 90.3320562574159 3.63222042532729 54.6843232998718 33.0909437356033 1.30879417446116 3.63222042529675 0.330545617591632 0.278840863041955
"B1B011" 1 "S06M07" 2015 1.5 6 0 7.5 95.99 23738.8305 0 1 0 1 1 1 1 0 1 0 0 0 61.275 32.6 0 2.115 0 0 0 0 0 35 30 0 5.5 0 0 0.807359269 0.0149057345263187 0.0096419084053931 0.0159584997505039 0.561235211655276 4.37804331356768 -3.8168081019124 -5.10115230168194 29.2287245835181 -34.3298768852001 197.323049090769 109.390212126871 1.80384556583467 32.887174847 29.406689507308 0.855430335246448 1.80384556581065 0.431238036539047 0.358964556232199
"B1B012" 1 "S02M37" 2015 1.5 2 0 20 45.505 23738.8305 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 45.505 0 0 0 0 0 0 0 0 30 0 0 0.633634115 0.0143768079231841 0.00750265557083004 0.0212509602755382 -0.0489045079450925 1.52747872457792 -1.57638323252301 -0.601351022509556 15.8999316997024 -16.5012827222119 91.5036538461539 95.7365976088787 0.955785521227545 45.7518269230769 57.168660561115 0.833346744126682 0.955785521227545 0.715162935360101 -0.173708347705975
"B1B016" 1 "S02M39" 2015 1.5 2 0 12.5 36.2 23738.8305 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 36.2 0 0 0 0 0 0 0 0 20 0 1.696904653 0.0189055292564547 0.0151365504125718 0.0226745081003375 -0.175660217025988 1.34843964016259 -1.52409985718858 -1.30111856533897 29.2393777798851 -30.5404963452241 154.979830695 154.250293435628 1.00472956804894 77.4899153475 119.23292784401 0.676614258960634 1.00472956804894 0.436419167716729 -0.188213780978563
